tx_date,ticker,tx_type,quantity,price,currency,fees,asset_class,notes
2021-01-15,EUE.MI,buy,120.0,47.4341,EUR,2.0,ETF,Allocazione Iniziale Azionario Euro
2021-01-15,SWDA.MI,buy,150.0,94.3,EUR,2.0,ETF,Allocazione Iniziale Core Globale
2021-01-18,BND,buy,60.0,68.7989,USD,1.5,Bond,Copertura Obbligazionaria Iniziale
2021-01-18,SPY,buy,25.0,546.6684,USD,1.5,ETF,Esposizione Core S&P 500
2021-01-20,AAPL,buy,30.0,224.0161,USD,1.5,Stock,Posizione Strategica Big Tech
2021-01-20,MSFT,buy,15.0,415.7559,USD,1.5,Stock,Posizione Cloud & Software Core
2021-01-22,JNJ,buy,20.0,150.8246,USD,1.5,Stock,Difensivo Healthcare Dividend
2021-01-22,PG,buy,25.0,159.5739,USD,1.5,Stock,Consumer Staples Core
2021-01-25,ENEL.MI,buy,400.0,5.8815,EUR,2.5,Stock,Utilities & Dividendo Italia
2021-01-25,ISP.MI,buy,1200.0,3.1203,EUR,2.5,Stock,Banking & High Dividend Yield
2021-01-28,GLD,buy,20.0,231.61,USD,1.5,Commodity,Copertura Oro Fisico
2021-01-29,BTC-USD,buy,0.15,58483.9648,USD,0.0,Crypto,Allocazione Satellite Cripto
2021-01-29,ETH-USD,buy,1.5,2613.3572,USD,0.0,Crypto,Allocazione Satellite Smart Contracts
2021-03-09,JNJ,dividend,1.0,20.2,USD,0.0,Stock,Dividendo Q1 Johnson & Johnson
2021-04-15,BND,buy,5.0,68.7989,USD,1.5,Bond,Ribilanciamento Cedolare Bond
2021-04-15,EIMI.MI,buy,20.0,31.755,EUR,1.0,ETF,Incremento Mercati Emergenti
2021-04-15,SPY,buy,2.0,546.6684,USD,1.5,ETF,PAC DCA Trimestrale S&P 500
2021-04-15,SWDA.MI,buy,10.0,94.3,EUR,1.0,ETF,PAC DCA Trimestrale Core World
2021-05-17,PG,dividend,1.0,21.73,USD,0.0,Stock,Dividendo Q2 Procter & Gamble
2021-05-24,ISP.MI,dividend,1.0,42.0,EUR,0.0,Stock,Dividendo Straordinario Intesa
2021-06-08,JNJ,dividend,1.0,21.2,USD,0.0,Stock,Dividendo Q2 Johnson & Johnson
2021-06-10,MSFT,dividend,1.0,8.4,USD,0.0,Stock,Dividendo Trimestrale Microsoft
2021-06-10,NVDA,buy,20.0,129.7861,USD,1.5,Stock,Ingresso AI & GPU Computing
2021-07-15,SPY,buy,2.0,546.6684,USD,1.5,ETF,PAC DCA Trimestrale S&P 500
2021-07-15,SWDA.MI,buy,10.0,94.3,EUR,1.0,ETF,PAC DCA Trimestrale Core World
2021-07-22,ENEL.MI,dividend,1.0,73.2,EUR,0.0,Stock,Dividendo Saldo Enel 2020
2021-08-16,PG,dividend,1.0,21.73,USD,0.0,Stock,Dividendo Q3 Procter & Gamble
2021-09-07,JNJ,dividend,1.0,21.2,USD,0.0,Stock,Dividendo Q3 Johnson & Johnson
2021-09-14,GOOGL,buy,10.0,165.3947,USD,1.5,Stock,Acquisto Search & Cloud Leader
2021-10-15,BND,buy,5.0,68.7989,USD,1.5,Bond,Ribilanciamento Cedolare Bond
2021-10-15,EIMI.MI,buy,20.0,31.755,EUR,1.0,ETF,Incremento Mercati Emergenti
2021-10-15,SPY,buy,2.0,546.6684,USD,1.5,ETF,PAC DCA Trimestrale S&P 500
2021-10-15,SWDA.MI,buy,10.0,94.3,EUR,1.0,ETF,PAC DCA Trimestrale Core World
2021-10-20,ISP.MI,dividend,1.0,118.8,EUR,0.0,Stock,Dividendo Residuo Intesa 2020
2021-11-15,PG,dividend,1.0,21.73,USD,0.0,Stock,Dividendo Q4 Procter & Gamble
